time,x,y,rssi,tag_id
1619191632388973474,12.656194361090797,50.5441847837601,-80,417e62aa
1619191632388973474,14.206242910026518,50.53774605161287,-80,417e62aa
1619191632388973474,15.781335991741294,50.32250057450024,-80,417e62aa
1619191632388973474,16.19979172034774,49.16261658914016,-80,417e62aa
1619191632388973474,16.28141111242087,47.36103686706585,-80,417e62aa
1619191632388973474,16.257255190648127,45.898277871795344,-80,417e62aa
1619191632388973474,16.193959559667498,44.39974908843742,-80,417e62aa
1619191632388973474,16.106966623297623,42.90882464603517,-80,417e62aa
1619191632388973474,16.09401367909703,41.423624506416914,-80,417e62aa
1619191632388973474,16.162245471133545,39.56423861183451,-80,417e62aa
1619191930822740316,16.227115501117297,38.09188222165572,-79,417e62aa
1619191946977998495,16.26061084399035,36.74464209932347,-79,417e62aa
1619191946977998495,16.275428136889012,35.28779492718685,-79,417e62aa
1619191946977998495,16.324673432763277,33.79235523669092,-79,417e62aa
1619191946977998495,16.406537707778327,32.07125573746474,-79,417e62aa
1619191946977998495,16.415604664790393,30.530276377607194,-79,417e62aa
1619191946977998495,16.49836906188056,28.287982324243373,-79,417e62aa
1619191946977998495,16.55795134845816,26.457889250137143,-79,417e62aa
1619192051835427284,16.635590117858143,25.00443664222483,-77,417e62aa
1619192051835427284,16.657388080546255,23.171792821758473,-77,417e62aa
1619192080754009485,16.627858606269072,21.491556673788637,-78,417e62aa
1619192080754009485,16.599440701066015,19.649203828325895,-78,417e62aa
1619192112504401445,16.580329737732825,17.74267875321771,-74,417e62aa
1619192125970915794,16.682802922118142,15.779100018906021,-76,417e62aa
1619192142156648159,16.773197566696567,13.72972279437063,-75,417e62aa
1619192156070478916,16.622592615184345,12.240138605393902,-76,417e62aa
1619192171600206375,16.69652981452211,9.966636944205149,-68,417e62aa
1619192185131086587,16.72976122519512,8.313644367486312,-78,417e62aa
1619192201910316705,16.68045622747985,5.975594617016405,-59,417e62aa
1619192217265051364,16.647236249338235,4.067827570530405,-60,417e62aa
1619192217265051364,16.623502883944212,2.4125473551330145,-60,417e62aa
1619192244646455287,16.615198002143828,0.896678720993819,-52,417e62aa
1619192262145301580,15.40865314349729,0.18755670843815508,-45,417e62aa
1619192274700684547,13.706296451425786,0.21092979283282176,-48,417e62aa
1619192292309874057,12.035287374052885,0.30838553250388046,-51,417e62aa
1619192305008814334,10.664317360321036,0.41248775283374783,-42,417e62aa
1619192322235352039,9.335970289790467,0.4405132618496985,-40,417e62aa
1619192337396713733,7.8142558719903406,0.3903880664470556,-40,417e62aa
1619192352270524501,6.053597870658024,0.420133619964318,-40,417e62aa
1619192366789745092,4.408702795693941,0.3865703050760523,-43,417e62aa
1619192380773437976,2.606361951601727,0.42513149296179265,-40,417e62aa
1619192396303758382,1.1188573527054047,0.47022318360071225,-40,417e62aa
1619192409819354772,-0.340953240281209,0.4615572277789095,-40,417e62aa
1619192426293595790,-0.9738569641440193,0.4815792892190771,-40,417e62aa
