time,x,y,A0,A01,A02,A04,A06,A10,A9,A11,A12,A15,A16,A17,A19,A20,A24
1.60135593672458E+018,-25.9044623123028,-264.33962816645,0,0,0,0,0,0,0,0,65,72,67,45,40,68,0
1.60135594180458E+018,-27.9223539442233,-264.308756470077,0,0,0,0,0,0,0,0,63,66,56,42,46,74,0
1.60135594668456E+018,-29.8659378500591,-264.158326737205,0,0,0,0,0,0,0,0,60,59,51,41,51,77,0
1.60135595172458E+018,-31.7890428463065,-264.048149092408,0,0,0,0,0,0,0,78,60,71,52,40,56,0,0
1.60135595664458E+018,-32.6754494646916,-263.384195004279,0,0,0,0,0,75,0,69,48,52,49,40,46,0,0
1.60135596164458E+018,-34.1726715251349,-262.267017541985,0,0,0,0,0,72,0,71,51,50,40,40,47,0,0
1.60135596672457E+018,-35.1692925251663,-261.509061139932,0,0,0,0,0,75,0,64,48,53,40,40,47,0,0
1.60135597164458E+018,-36.2329440792572,-260.615994879304,0,0,0,0,0,71,0,67,48,60,40,40,59,0,0
1.60135597676458E+018,-37.7500341749272,-259.266135480829,0,0,0,0,0,72,0,68,50,57,40,40,57,0,0
1.60135598156458E+018,-39.0961813427621,-257.910784240639,0,0,0,0,0,73,0,65,0,49,40,40,0,0,0
1.60135598672458E+018,-40.5631817871254,-256.476715355148,0,0,0,0,0,74,0,63,46,48,40,40,68,0,0
1.60135599160458E+018,-41.9425948406745,-255.089988962796,83,0,0,0,0,71,0,62,47,46,40,40,58,0,0
1.60135599672458E+018,-43.4668992242167,-253.749309510905,82,0,0,0,0,71,0,63,46,41,40,40,54,0,0
1.60135600176458E+018,-44.7205792525698,-252.206972253674,82,0,0,0,0,74,0,61,44,42,40,40,60,0,0
1.60135600668458E+018,-46.0004692057846,-250.706353568885,79,0,0,0,0,69,0,59,40,41,40,40,72,0,0
1.60135601170459E+018,-47.339965770383,-249.23267202215,81,0,0,0,0,68,0,58,41,65,46,40,70,0,0
1.60135601662458E+018,-48.4634904007302,-247.638212254325,79,0,0,0,0,67,0,55,40,54,40,40,62,0,0
1.60135602166459E+018,-49.5789485162532,-245.96848528386,79,0,0,0,0,66,0,54,40,43,40,40,65,0,0
1.60135602676458E+018,-50.7051777567382,-244.278166842392,77,0,0,0,0,67,0,55,42,40,40,40,61,0,0
1.60135603180458E+018,-51.9028286919323,-242.661959932403,78,0,0,0,0,65,0,54,40,40,40,40,77,0,0
1.60135603660458E+018,-52.9124616330908,-241.04614654445,75,0,0,0,0,67,0,55,41,40,40,40,72,0,0
1.60135604176458E+018,-54.0294025812314,-239.325015148517,79,0,0,0,0,70,0,57,43,40,40,42,69,0,0
1.60135604668458E+018,-54.9842893322674,-237.599256883836,77,0,0,0,0,75,0,62,40,40,40,44,72,0,0
1.60135605172458E+018,-55.940095605512,-235.84547707085,78,0,0,0,0,70,0,59,40,48,40,42,79,0,0
1.60135605664458E+018,-56.7930091153269,-234.082364540256,76,0,0,0,0,64,0,53,40,40,40,41,79,0,0
1.60135606162458E+018,-57.6225833229217,-232.271640809652,77,0,0,0,0,64,0,52,40,40,40,46,78,0,0
1.60135606668459E+018,-58.4364099760435,-230.434870774302,73,0,0,0,0,60,79,51,40,49,40,52,78,0,0
1.60135607172458E+018,-59.1699615265794,-228.580040354404,73,0,0,0,0,59,81,53,40,40,40,55,72,0,0
1.60135607662458E+018,-59.9085924018501,-226.751715872098,73,0,0,0,0,61,78,53,40,40,40,53,74,0,0
1.60135608164455E+018,-60.6096183660891,-224.891033185756,69,0,0,0,0,61,0,53,43,40,40,58,75,0,0
1.60135608672458E+018,-61.2794950363561,-222.997364637656,70,0,0,0,0,68,77,51,40,40,40,52,0,0,0
1.60135609160458E+018,-61.8487654172447,-221.135189149962,69,0,0,0,0,63,0,46,40,40,40,54,0,0,0
1.60135609662458E+018,-62.3785216716884,-219.218527484952,70,0,0,0,0,62,0,43,40,40,40,48,0,0,0
1.60135610174458E+018,-62.8706747973799,-217.230542244158,68,0,0,0,0,55,76,44,40,40,40,51,0,0,0
1.60135610666453E+018,-63.1494697867355,-215.290944086322,68,0,0,0,0,55,72,41,40,40,40,58,0,0,0
1.60135611160458E+018,-63.5903405605178,-213.376199015747,67,0,0,0,0,53,70,43,40,40,49,56,0,0,0
1.60135611666488E+018,-64.01381830102,-211.412675971432,68,0,0,0,0,54,69,42,40,44,54,62,0,0,0
1.60135612166458E+018,-64.1890870804174,-209.429620630435,66,0,0,0,0,51,71,43,40,40,47,58,0,0,0
1.60135612678459E+018,-64.4773733444273,-207.397512364382,70,0,0,0,0,56,72,46,40,40,53,56,78,0,0
