time,x,y,26453,27170,27183,27157,27180,27141,27160
1599810377288967370,-10.85846477,6.964384696,0,0,0,-95,0,0,0
1599810378035155057,-10.29235128,5.93998573,0,0,0,-95,0,0,0
1599810378322790145,-10.21836431,5.912292939,0,0,0,0,0,-79,0
1599810378417049169,-10.19450575,5.903292169,0,0,0,-97,0,0,0
1599810378701256275,-10.11823719,5.874563875,0,0,0,0,0,-79,0
1599810378802271842,-10.09252548,5.864809064,0,0,0,-102,0,0,0
1599810379086754798,-10.04431824,5.846690026,0,0,0,0,0,-81,0
1599810379187715291,-9.922563259,5.73285877,0,0,0,-98,0,0,0
1599810379466402292,-9.852134367,5.700517164,0,0,0,0,0,-79,0
1599810379555079460,-9.829394831,5.690129101,0,0,0,-100,0,0,0
1599810379931546211,-9.73822209,5.649050471,0,0,0,-100,0,0,0
1599810380213911294,-9.669720951,5.618512737,0,0,0,0,0,-80,0
1599810380597836017,-9.578557079,5.578645861,0,0,0,0,0,-79,0
1599810380984646320,-9.5075077,5.547691012,0,0,0,0,0,-79,0
1599810381362583875,-9.417241653,5.508267152,0,0,0,0,0,-79,0
1599810381465900659,-9.394784283,5.498473564,0,0,0,-100,0,0,0
1599810381738887786,-9.32606316,5.468434164,0,0,0,0,0,-79,0
1599810382109236001,-9.210084875,5.390572903,0,0,0,0,0,-80,0
1599810382481702089,-9.13957909,5.36089361,0,0,0,0,0,-81,0
1599810382581968545,-9.119212273,5.352575399,0,0,0,-101,0,0,0
1599810383234107971,-8.953886877,5.286612053,0,0,0,0,0,-81,0
1599810383606207847,-8.859579895,5.249083544,0,0,0,0,0,-81,0
1599810383983165025,-8.765173617,5.21180514,0,0,0,0,0,-84,0
1599810384363018989,-8.691792345,5.182545303,0,0,0,0,0,-82,0
1599810384747504234,-8.595227291,5.143930297,0,0,0,0,0,-85,0
1599810384849748373,-8.572464795,5.134868551,0,0,0,-98,0,0,0
1599810385482051134,-8.532908039,5.168914901,0,0,0,0,0,-84,0
1599810385581361293,-8.507792066,5.159006092,0,0,0,-100,0,0,0
1599810385854912281,-8.432473011,5.129206677,0,0,0,0,0,-85,0
1599810386235557317,-8.33481694,5.090628965,0,0,0,0,0,-84,0
1599810386593811988,-8.232028975,5.05007256,0,0,0,0,0,-82,0
1599810386977378845,-8.155375207,5.019569537,0,0,0,0,0,-80,0
1599810387352937936,-8.055160403,4.979312901,0,0,0,0,0,-81,0
1599810387729446411,-7.947595637,4.933290931,0,0,0,0,0,-84,0
1599810388105156183,-7.881701119,4.964700766,0,0,0,0,0,-85,0
1599810388468818902,-7.806487096,4.924055551,0,0,0,0,0,-86,0
1599810388854658842,-7.706254988,4.863720634,0,0,0,0,0,-83,0
1599810389227482795,-7.611764558,4.803593,0,0,0,0,0,-82,0
1599810389597129106,-7.533871456,4.753704943,0,0,0,0,0,-85,0
1599810389964698791,-7.438570542,4.692986907,0,0,0,0,0,-85,0
1599810390344110965,-7.346132554,4.63428912,0,0,0,0,0,-83,0
1599810390710376739,-7.2745481,4.588456306,0,0,0,0,0,-84,0
1599810391091882467,-7.651059918,8.455782347,0,0,0,0,0,-83,0
1599810391834841251,-7.331942045,4.610981815,0,0,0,0,0,-84,0
1599810392573344469,-7.334895754,4.612859472,0,0,0,0,0,-83,0
1599810392934808254,-7.355568209,4.626008585,0,0,0,0,0,-83,0
1599810393313310146,-7.353033704,4.624403504,0,0,0,0,0,-83,0
1599810393687324047,-7.696085715,8.440652161,0,0,0,0,0,-85,0
1599810394059585571,-7.397320848,4.656006168,0,0,0,0,0,-82,0
1599810394415109872,-7.468619665,4.702368594,0,0,0,0,0,-84,0
1599810394778578996,-7.536336543,4.74401477,0,0,0,0,0,-85,0
1599810395135119676,-7.63982016,4.803765877,0,0,0,0,0,-84,0
1599810395509959459,-7.750222066,4.863430941,0,0,0,0,0,-85,0
1599810396617602109,-8.100937725,5.030461537,0,0,0,0,0,-82,0
1599810396994866132,-8.240163122,5.095101211,0,0,0,0,0,-81,0
1599810397370073556,-8.244205469,5.122106129,0,0,0,0,0,-83,0
1599810397737697362,-8.386720041,5.194833919,0,0,0,0,0,-83,0
1599810398106351137,-8.524224669,5.26527971,0,0,0,0,0,-83,0
1599810398477423429,-8.633597666,5.321551296,0,0,0,0,0,-84,0
1599810398854312181,-8.776103431,5.394295573,0,0,0,0,0,-81,0
1599810399225551605,-8.916652792,5.466474012,0,0,0,0,0,-81,0
1599810399590423822,-9.531976802,7.576565015,0,0,0,0,0,-80,0
1599810399959780693,-9.121745312,5.448017579,0,0,0,0,0,-81,0
1599810400053880691,-9.155351658,5.462260427,0,0,0,-100,0,0,0
1599810400329419374,-9.267446726,5.509130616,0,0,0,0,0,-79,0
1599810400710563659,-9.415032581,5.569615534,0,0,0,0,0,-79,0
1599810400801968097,-9.949441722,7.349003607,0,0,0,-100,0,0,0
1599810401075736999,-9.514950557,5.610606445,0,0,0,0,0,-79,0
1599810401454265117,-9.640828909,5.662089301,0,0,0,0,0,-79,0
1599810401555159091,-9.672262088,5.675048848,0,0,0,-97,0,0,0
1599810401932511806,-9.787850991,5.722630575,0,0,0,-100,0,0,0
1599810402214371442,-9.873942679,5.757803826,0,0,0,0,0,-79,0
1599810402310044765,-9.900773863,5.768807405,0,0,0,-98,0,0,0
1599810402683812141,-10.48038474,7.052761882,0,0,0,-96,0,0,0
1599810402974231004,-9.925197688,5.73347419,0,0,0,0,0,-80,0
1599810403070291996,-9.951925473,5.744726947,0,0,0,-95,0,0,0
1599810403358951091,-10.03721635,5.780526828,0,0,0,0,0,-81,0
1599810403723406076,-10.15150351,5.828634137,0,0,0,0,0,-81,0
1599810404191912651,-10.26483867,5.876425802,0,0,0,-106,0,0,0
1599810404480512857,-10.3532327,5.913875572,0,0,0,0,0,-80,0
1599810404580280065,-10.37905902,5.924692027,0,0,0,-96,0,0,0
1599810404956388235,-10.49342274,5.972617153,0,0,0,-94,0,0,0
1599810405242413520,-10.58240823,6.009950214,0,0,0,0,0,-84,0
1599810405335533618,-10.6077784,6.020561695,0,0,0,-97,0,0,0
1599810405617520093,-10.6967147,6.05801192,0,0,0,0,0,-84,0
1599810405721917867,-10.85824604,6.146338974,0,0,0,-95,0,0,0
1599810406107840776,-10.97112195,6.193933461,0,0,0,-93,0,0,0
1599810406389635562,-11.02742965,6.217394511,0,0,0,0,0,-81,0
1599810406497819662,-11.081413,6.239933984,0,0,0,-93,0,0,0
1599810406777896165,-11.13776858,6.263279854,0,0,0,0,0,-81,0
1599810407157598733,-11.24246672,6.307102951,0,0,0,0,0,-84,0
1599810407233598709,-11.27436144,6.320255027,0,0,0,-92,0,0,0
1599810407523742437,-11.36013517,6.356196651,0,0,0,0,0,-85,0
1599810407622521400,-11.38502346,6.366664222,0,0,0,-92,0,0,0
1599810408016956329,-11.49605666,6.413481167,0,0,0,-84,0,0,0
1599810408305242300,-11.54997502,6.43617576,0,0,0,0,0,-83,0
1599810408393321037,-12.00200454,6.205727006,0,0,0,-87,0,0,0
1599810408677651882,-11.6629034,6.457578321,0,0,0,0,0,-83,0
1599810408784063816,-11.69210958,6.453940986,0,0,0,-88,0,0,0
1599810409074984073,-11.77563767,6.484666189,0,0,0,0,0,-85,0
1599810409189562559,-11.83058429,6.504743599,0,0,0,-86,0,0,0
1599810409482284069,-11.88835957,6.525821154,0,0,0,0,0,-83,0
1599810409860951662,-11.99956027,6.566766764,0,0,0,0,0,-87,0
1599810409954243898,-12.02584783,6.576408263,0,0,0,-86,0,0,0
1599810410244234561,-12.11166078,6.608161821,0,0,0,0,0,-83,0
1599810410310033082,-12.13935188,6.618332775,0,0,0,0,-101,0,0
1599810410355987787,-12.13935188,6.618332775,0,0,0,-87,0,0,0
1599810410656407117,-12.22719368,6.650364196,0,0,0,0,0,-85,0
1599810410755597114,-12.25160363,6.659317045,0,0,0,-86,0,0,0
1599810411134885311,-12.36500716,6.700052496,0,0,0,-86,0,0,0
1599810411442989110,-12.44846331,6.727960125,0,0,0,0,0,-83,0
1599810411544767856,-12.47844398,6.737624152,0,0,0,-83,0,0,0
1599810411785541057,-12.5010201,6.790021433,0,0,0,0,0,0,-104
1599810411842040777,-12.52802743,6.797409669,0,0,0,0,0,-81,0
1599810411948479890,-12.55703688,6.805055012,0,0,0,-82,0,0,0
1599810412251304149,-12.64341033,6.826500564,0,0,0,0,0,-82,0
1599810412663403987,-12.7609453,6.850635681,0,0,0,0,0,-84,0
1599810412768688917,-12.79495674,6.85641992,0,0,0,-84,0,0,0
1599810413133085489,-12.91169335,6.8735827,0,0,0,0,-99,0,0
1599810413183242797,-12.91169335,6.8735827,0,0,0,-80,0,0,0
1599810413423359394,-12.99870934,6.882722508,0,0,0,0,0,0,-102
1599810413487910032,-13.27950556,5.389060764,0,0,0,0,0,-94,0
1599810413587732076,-13.02412836,6.884752485,0,0,0,-79,0,0,0
1599810413826306819,-13.1180141,6.888985895,0,0,0,0,0,0,-99
1599810413888851404,-13.1180141,6.888985895,0,0,0,0,0,-92,0
1599810413950729370,-13.14451367,6.88909211,0,0,0,0,-102,0,0
1599810413996329784,-13.17051092,6.888746912,0,0,0,-81,0,0,0
1599810414307777166,-13.24939821,6.884777652,0,0,0,0,0,-92,0
1599810414409494876,-13.27478963,6.882429113,0,0,0,-80,0,0,0
1599810414667708158,-13.32689647,6.876045205,0,0,0,0,0,0,-99
1599810414732547283,-13.31238757,6.809085691,0,0,0,0,0,-91,0
1599810414830874204,-13.32498185,6.780709546,0,0,0,-80,0,0,0
1599810415137500047,-13.40335097,6.762372169,0,0,0,0,0,-93,0
1599810415238446235,-13.42982029,6.754915567,0,0,0,-80,0,0,0
1599810415536843776,-13.50103173,6.731421552,0,0,0,0,0,-92,0
1599810415635812044,-13.52861448,6.720963012,0,0,0,-81,0,0,0
1599810415882261753,-13.57699421,6.700587498,0,0,0,0,0,0,-100
1599810415942449808,-13.60101171,6.689390776,0,0,0,0,0,-94,0
1599810416035373449,-13.62076049,6.679696509,0,0,0,-82,0,0,0
1599810416287142038,-13.6688101,6.653993829,0,0,0,0,0,0,-96
1599810416336124658,-13.68864188,6.642345438,0,0,0,0,0,-96,0
1599810416439339637,-13.709046,6.629710792,0,0,0,-81,0,0,0
1599810416691203117,-13.77249944,6.586120235,0,0,0,0,0,0,-98
1599810416753429412,-13.77249944,6.586120235,0,0,0,0,0,-93,0
1599810417080683231,-13.79407706,6.513382608,0,0,0,0,0,0,-95
1599810417138664484,-13.81180186,6.496469348,0,0,0,0,0,-94,0
1599810417238490581,-13.82845066,6.479884835,0,0,0,-80,0,0,0
1599810417488311529,-13.85479777,6.451816678,0,0,0,0,0,0,-96
1599810417552414178,-13.86297859,6.44236635,0,0,0,0,0,-95,0
1599810417648610591,-13.86329256,6.441977252,0,0,0,-80,0,0,0
1599810417893884420,-13.86393615,6.441203577,0,0,0,0,0,0,-95
1599810417960015058,-13.86393615,6.441203577,0,0,0,0,0,-93,0
1599810418061627626,-13.86418544,6.440770183,0,0,0,-79,0,0,0
