time,x,y,rss,distance,tag_id
1601356739033707618,0.2798492459490737,-229.42545176880597,-81,3731,26453
1601356739074941396,0.2798492459490737,-229.42545176880597,-103,30426,27204
1601356739195335388,0.2825878354842689,-229.4649301374367,-82,3717,26453
1601356739356827020,0.28803632660788575,-229.54403275557647,-81,3783,26453
1601356739400043487,0.2893948104555448,-229.56370073925515,-104,29840,27204
1601356739521320104,0.29222071553361273,-229.6033648125176,-82,3966,26453
1601356739563198566,0.29372966828089986,-229.6233577457853,-102,29863,27204
1601356739685053110,0.29858518641478643,-229.68359878519783,-82,4050,26453
1601356739844440221,0.3037097432792993,-229.74319329711844,-82,3942,26453
1601356740000414133,0.30707550998052635,-229.78276721936305,-83,3923,26453
1601356740160758256,0.31370323371426206,-229.86158768949687,-85,3952,26453
1601356740203500270,0.3153535262671623,-229.88132937893775,-99,30013,27204
1601356740326591730,0.31864048809751766,-229.92066984115763,-85,4186,26453
1601356740367381095,0.3202771573749774,-229.9402686139368,-98,30013,27204
1601356740489281654,0.3235628052573777,-229.97951314878094,-83,4283,26453
1601356740531553983,0.32685207240381653,-230.0189014358957,-98,29919,27204
1601356740653278350,0.3301112995500651,-230.0584362619894,-82,4246,26453
1601356740695980310,0.3317235539053214,-230.07822910414737,-97,29779,27204
1601356740820012807,0.3349101045488075,-230.11772184910822,-81,4195,26453
1601356740861105203,0.3364954595161184,-230.13751686437965,-99,29736,27204
1601356740983024597,0.3396384179447616,-230.17701310297716,-82,4181,26453
1601356741024462699,0.3412027466748826,-230.1967137882622,-99,29694,27204
1601356741146783113,0.3459458330679884,-230.2563398889919,-83,4246,26453
1601356741189821481,0.3475089174267188,-230.2760886745495,-102,29403,27204
1601356741311938762,0.35061622607328236,-230.3155397340456,-83,4471,26453
1601356741352114200,0.35218290907129207,-230.33552823502546,-102,29680,27204
1601356741472288370,0.35526470398825805,-230.37493329847356,-83,4531,26453
1601356741631138086,0.3598957353655836,-230.4344722149056,-82,4517,26453
1601356741674473524,0.3614232489246154,-230.45417578888095,-99,29131,27204
1601356741798924446,0.36601290781686524,-230.51386188571,-83,4517,26453
1601356741840118646,0.3675155993136825,-230.53361535836618,-101,29192,27204
1601356741965148448,0.3705156950745969,-230.5730747156877,-83,4518,26453
1601356742006777524,0.37203042527962044,-230.59287526062872,-101,29014,27204
1601356742129663705,0.3750696332680747,-230.6327155603958,-84,4555,26453
1601356742170330762,0.37647695057218433,-230.65113257206465,-100,28986,27204
1601356742291709661,0.378868600950105,-230.68267190350662,-84,4606,26453
1601356742447299480,0.38328807868987946,-230.74107523912787,-85,4822,26453
1601356742489620208,0.38328807868987946,-230.74107523912787,-101,28869,27204
1601356742613000631,0.3878716127134851,-230.80287326244735,-86,4841,26453
1601356742656534671,0.3893019852482855,-230.82215230451553,-103,28775,27204
1601356742776775121,0.3916094820915225,-230.8534100206063,-85,4841,26453
1601356742937422752,0.3917955208269767,-230.8559393207431,-85,4897,26453
1601356743094902992,0.39186515587465676,-230.85689381523898,-85,4846,26453
1601356743250304937,0.3920215246365409,-230.85904145048156,-86,4846,26453
1601356743410936594,0.39208746917381065,-230.85994823547145,-86,4869,26453
